ugc
97,MCG+5-1-45,1.3,0.7,70,S0,15.6
98,MCG+5-1-46,1.2,0.6,42,SBb,13.9
99,MCG+2-1-23,3,3,,DWRF SP,16
100,MCG+5-1-48,1.6,0.7,154,Sb-c,13.5
101,MCG+4-1-35,1.4,0.6,155,SBa,15.4
102,MCG+5-1-49,1.6,1.3,85,SBa/Sa,14.8
103,MCG+1-1-0,1.1,1.1,,S,17
104,MCG+1-1-42,1.2,0.7,75,SBa,16
105,MCG+5-1-50,1.2,1.1,,SB0,15.1
106,MCG+1-1-43,2.7,1.5,21,Sb/SBb,14.5
107,MCG+5-1-0,1.1,0.2,18,S,16
108,MCG+5-1-51,1,0.5,51,SB:b,14.8
109,MCG+0-1-37,1.1,1,,S-IRR,17
110,MCG+4-1-0,1.3,0.8,145,Sc,15.3
111,MCG+2-1-24,1.3,0.4,76,Sc,15.4
112,MCG+7-1-0,2,2,,DWRF SP,17
113,MCG+4-1-37,1.2,0.4,105,Sa,14.9
114,MCG+5-1-52,1.2,1.1,,Sc,14.4
115,MCG+15-1-1,2.3,2.1,,DWRF SP,16.5
116,MCG+1-1-45,1.2,0.5,68,S,15.4
117,MCG+5-1-53,1.7,1.2,110,Sc,15.2
118,MCG+4-1-41,1.1,0.6,115,E-S0,15
119,MCG+2-1-25,1,0.6,78,PECULR,14.2
120,MCG+5-1-54,1.4,1.3,,SB0,13.9
121,MCG+6-1-17,1.2,0.7,105,SBc,15.4
122,MCG+3-1-28,2.6,0.4,109,IRR,15.2
123,MCG+3-1-29,1,1,10,S,14.2
124,MCG+5-1-0,1.1,0.2,32,Sa,15.5
125,MCG+8-1-28,1.1,0.4,72,S0,15.2
126,MCG+2-1-0,1.1,1,,S,15.7
127,MCG+4-1-42,1.8,0.8,135,SB:c,16.5
128,MCG+6-1-19,2.3,2,65,S IV-V,16.5
129,MCG+0-1-41,1,0.9,,SBb,15.5
130,MCG+5-1-0,0.4,0.35,160,COMPACT,14.2
131,MCG+8-1-30,1.1,0.2,170,S,15.2
132,MCG+2-1-26,1.6,0.5,14,,15.3
133,MCG+8-1-31,1.7,1,15,Sb,15
134,MCG+2-1-0,1,1,,S IV-V,17
135,MCG+1-1-0,1.2,0.1,27,,17
136,MCG+8-1-33,1,0.9,165,S0?,15.3
137,MCG+8-1-34,1.2,0.4,77,Sb-c,15.7
138,MCG+8-1-35,1.4,1.3,,(S0-a),14.6
139,MCG+0-1-43,2.4,1.3,82,Sc,14.8
140,MCG+3-1-30,2.6,0.5,127,S,14.6
141,MCG+5-1-0,1.2,0.6,145,SB0-a,15.7
142,MCG+1-1-0,1.3,0.4,133,SBb,15.6
143,MCG+1-1-46,1.4,1.3,,SBa,16
144,MCG+3-1-32,1,0.3,90,Sb-c,15.7
145,MCG+3-1-31,2.6,2.1,40,E,13.7
146,MCG+4-1-45,1.2,0.6,65,S0,15.4
147,MCG+5-1-57,1.7,0.25,156,S0-a,14.6
148,MCG+3-1-34,1.5,0.4,98,S,14
149,MCG+2-1-27,1.3,0.3,60,S,15.6
150,MCG+0-1-48,1.6,1.6,,S,15.4
151,MCG+2-1-28,1.3,1.2,,S0?,14.7
152,MCG+5-1-59,1.5,0.5,73,Sc,15.7
153,MCG+8-1-0,1.2,0.5,178,,17
154,MCG+0-1-0,1.2,1.2,,DWARF,18
155,MCG+1-1-47,1.6,0.4,3,S,14.6
156,MCG+2-1-29,3,2,5,DWRF IR,15.3
157,MCG+5-1-60,1.1,0.9,15,SBb,15.1
158,MCG+7-1-6,1.9,0.6,173,Sb,15.5
159,MCG+3-1-0,1.4,1.4,,DWARF,18
160,MCG+6-1-21,1.6,1.5,,S IV-V,16.5
161,MCG+1-1-0,1.1,0.9,,DWARF,18
162,MCG+3-1-35,1.3,0.5,43,S,15.6
163,MCG+1-1-48,1.1,0.6,103,SBc,15.4
164,MCG+3-1-36,1.8,0.7,65,SBb/SBc,15.2
165,MCG+4-1-47,1,0.2,37,Sa-b,15.4
166,MCG+5-1-62,2.4,1.2,18,Sc,15.5
167,MCG+2-1-30,1.7,1.1,108,S,12.6
168,MCG+3-1-37,1.2,0.3,162,Sa,16
169,MCG+3-1-0,1.1,0.9,,SB?c,14.8
170,MCG+5-1-65,1.2,1.1,,(S0),14.5
171,MCG+8-1-36,0.9,0.7,30,IRR,14.4
172,MCG+3-1-0,1,0.12,110,Sc,17
173,MCG+5-1-68,1.5,1.2,,(E),14.8
174,MCG+5-1-67,2,1.6,0,Sb,14.5
175,MCG+8-1-38,1.3,0.9,50,Sc/SBc,15.5
176,MCG+5-1-69,1.3,1,15,SBa,15
177,MCG+13-1-0,1.3,0.5,42,S,15.4
178,MCG+8-1-37,1.2,0.6,17,S,14.5
179,MCG+4-1-49,1.3,0.7,3,Sc,15.3
180,MCG+2-1-32,1.2,0.4,170,Sa-b,15.3
181,MCG+3-1-38,1.3,0.3,14,Sa,15.4
182,MCG+1-1-51,1.9,1.9,,S0,14.8
183,MCG+8-1-39,1.6,0.7,50,Sb,13.8
184,MCG+2-2-0,1,1,,DWARF,19
185,MCG+5-1-72,1.4,1.2,80,COMPACT,14
186,MCG+4-1-50,1.1,0.5,30,SBb,14.9
187,MCG+1-2-0,1.1,0.3,66,S,16.5
188,MCG+3-2-3,1.4,0.4,13,SB,15.7
189,MCG+2-2-0,1.2,0.9,120,,17
190,MCG+7-1-7,1.4,0.9,110,,16.5
191,MCG+2-1-33,2.6,2.1,150,DWRF SP,15.6
192,MCG+10-1-0,8,7,,DWRF IR,
193,MCG+0-2-4,1.3,0.9,80,SB0-a,14.5
194,MCG+0-2-5,1.2,1,,S0,14.5
195,MCG+1-2-3,1.5,0.6,163,Sb-c,15
196,MCG+8-1-40,1.5,1.1,140,SBc,14.2
197,MCG+3-2-4,1.2,1.1,,Sa,15.1
198,MCG+4-2-2,0.8,0.7,30,S,14.2
199,MCG+2-2-0,1,1,,DWARF,19
200,MCG+3-2-0,1.1,1,,DWRF IR,18
201,MCG+1-2-0,1.2,0.2,18,Sc,16.5
202,MCG+4-2-0,1.4,0.8,25,SB0,14.5
203,MCG+4-2-4,2.2,2,,S0,13.7
204,MCG+4-2-6,1.4,0.9,150,Sc,14.6
205,MCG+3-2-6,1.4,0.7,10,SB,15.6
206,MCG+4-2-5,1.3,1.2,,E,14.3
207,MCG+5-2-4,1,0.3,17,Sb,15.6
208,MCG+4-2-11,2.4,0.9,132,S,14.5
209,MCG+4-2-12,1.5,0.7,48,S,14.7
210,MCG+4-2-13,1.3,0.45,19,Sb,15
211,MCG+3-2-0,1.1,0.2,165,,17
212,MCG+0-2-14,1.7,0.7,18,SB,15
213,MCG+1-2-0,1.3,0.8,150,(S0),15.7
214,MCG+2-2-3,1.8,1.3,75,Sc,13.4
215,MCG+5-2-6,1.3,0.8,135,SBa,14.9
216,MCG+5-2-7,1.5,1.3,,(E),13.5
217,MCG+5-2-0,1.2,0.8,10,DWARF,17
218,MCG+1-2-5,1.4,1.4,,S,14.9
219,MCG+3-2-7,1.2,0.5,148,,15.7
220,MCG+0-2-0,1.4,0.5,177,S0,16
221,MCG+4-2-0,0.7,0.5,155,PECULR,14.5
222,MCG+6-2-0,1.2,0.1,138,,18
223,MCG+3-2-0,1.6,1.6,,(DWARF),16.5
224,MCG+0-2-18,1.3,0.7,,DISRPTD,15.4
225,MCG+3-2-8,1.1,1,,S0,16
226,MCG+2-2-5,1.2,0.6,4,,15.1
227,MCG+4-2-0,1.5,1.1,145,COMPACT,14.7
228,MCG+4-2-15,1.3,0.9,43,Sb-c,14.8
229,MCG+5-2-0,1,0.5,35,Sb,15.3
230,MCG+2-2-6,1.5,1.5,,Sc,14
231,MCG+3-2-9,5.8,0.7,56,Sc,14.6
232,MCG+5-2-9,1.5,1.5,,SBa,14.7
233,MCG+2-2-0,1,1,,PECULR,14.6
234,MCG+5-2-0,1.2,0.5,72,Sc,15.6
235,MCG+7-2-0,1.1,0.5,135,E-S,16
236,MCG+7-2-0,1.1,1.1,,E,15
237,MCG+1-2-6,1,0.5,70,SBa,15.4
238,MCG+5-2-10,2,0.5,178,S,14.4
239,MCG+7-2-0,1.1,0.8,,IRR,16.5
240,MCG+1-2-7,1,0.5,68,Sb/SBb,14.9
241,MCG+2-2-8,0.9,0.7,167,Sa,14.1
242,MCG+3-2-10,2,1.7,,SBc,14.3
243,MCG+8-2-1,1.9,0.4,2,Sb,14.9
244,MCG+4-2-17,1.1,0.5,154,SB?b-c,14.9
245,MCG+1-2-10,1.5,0.5,3,SBa-b,15.7
246,MCG+5-2-12,2.3,2,,SB0,13.3
247,MCG+2-2-0,1.1,0.2,19,Sc,16.5
248,MCG+4-2-18,1.9,1.3,48,DISRPTD,14.9
249,MCG+2-2-9,1.7,1,90,S-IRR,14.8
250,MCG+3-2-11,1.4,1.1,155,SB:c,15.6
251,MCG+4-2-20,1.3,1.1,,SBa,15
252,MCG+0-2-26,1.1,0.8,120,Sc,16.5
253,MCG+1-2-11,1.4,0.8,30,Sb/SBb,15.3
254,MCG+6-2-0,1.1,0.3,33,S,16.5
255,MCG+5-2-13,1.3,0.6,108,S,14.5
256,MCG+8-2-3,1.3,0.2,171,Sb-c,15.6
257,MCG+0-2-0,1.4,1.2,,,16
258,MCG+8-2-0,1.1,0.5,167,Sa-b,16
259,MCG+0-2-27,1.3,1,165,SB0,15
260,MCG+2-2-11,3.1,0.7,21,Sc,14
261,MCG+4-2-22,1.3,1,,PECULR,14.8
262,MCG+7-2-0,1.2,0.6,67,PECULR,15.1
263,MCG+7-2-4,1.6,0.3,171,Sc-IRR,16.5
264,MCG+0-2-32,1.3,0.9,,COMPACT,14.9
265,MCG+3-2-12,1.3,1,117,S,15.2
266,MCG+2-2-0,1.1,0.7,137,S?,16
